Tempo	Nome do Dispositivo	Tipo	PID	Marca	Mensagem
07-14 23:00:16.065	Samsung SM-S918B	Debug	1217	io_stats	!@   8,0 r 18583874 611290475 w 6111209 112776508 d 978434 177842240 f 166527 474338 iot 12989892 0 th 0 0 0 pt 0 inp 0 0 115613.158
07-14 23:00:15.900	Samsung SM-S918B	Info	6683	SDHMS:x	SIOP:: AP:337 BAT:287 USB:280 CHG:337 PA:325 CP:-200 WIFI:316 CF:300 BLK:0 SUBBAT:0 SKIN:311 SKINF:311 SKINB:297 LRP:311 LRP2:311 LRF2:311 LRB2:297 AP2:311 CHG2:309 WIFI2:307 UANT2:308 RCV2:306 SPK2:300 FCAM:279 UPSPK:293 DNSPK:278 VAP02:338 VWIFI:305 AMB:281 AMB2:250 AVGCUR:129 AVGSYS:438 POWER:495
07-14 23:00:15.895	Samsung SM-S918B	Debug	2712	WifiConnectivityMonitor.NetworkStatsAnalyzer	Backhaul result - RSSI:-47, CE:13, PE:18, TI:22, PTI:30, TW:3, PTW:1, Tx:8101, Rx:8103, TxS:8080, RxS:8074, RESULT:true, IC:0, ICT:5, WC:0, WCT:5, R:2, RC:0, IE:0, EC:0
07-14 23:00:15.734	Samsung SM-S918B	Info	1918	SurfaceFlinger	Current= 60, Period= 60, Distance= 60
07-14 23:00:15.717	Samsung SM-S918B	Info	1918	SurfaceFlinger	Current= 60, Period= 60, Distance= 0
07-14 23:00:15.703	Samsung SM-S918B	Info	4054	EPDG-0 [WifiProfiler]	getHandoverThresholdMet: value is: false
07-14 23:00:15.703	Samsung SM-S918B	Info	4054	EPDG-0 [Subscription]	isEpdgAvailable, IwlanPsState=2/2
07-14 23:00:15.703	Samsung SM-S918B	Info	4054	EPDG-0 [WifiProfiler]	Rssi : -47 highrange : -75 lowrange : -82 mIsRssiInHystersis : false
07-14 23:00:15.702	Samsung SM-S918B	Info	4054	EPDG-0 [WifiProfiler]	Rssi : -47 highrange : -75 lowrange : -82 mIsRssiInHystersis : false
07-14 23:00:15.702	Samsung SM-S918B	Info	4554	HoneySpace.StatusIconTracker	invokeEvent() called with: event = Wifi(visible=true, resId=2114459812, activityId=2114459843)
07-14 23:00:15.702	Samsung SM-S918B	Info	4054	EPDG-0 [WifiProfiler]	isProfiling, hash=249952231, started=true
07-14 23:00:15.701	Samsung SM-S918B	Info	4054	EPDG-0 [LogMetrics]	set, type=WIFI_RSSI_LAST, value=-47
07-14 23:00:15.698	Samsung SM-S918B	Info	4054	EPDG-0 [WifiProfiler]	isProfiling, hash=249952231, started=true
07-14 23:00:15.698	Samsung SM-S918B	Info	4054	EPDG-0 [WifiProfiler]	handleWifiRssiIntent, rssi=-47
07-14 23:00:15.698	Samsung SM-S918B	Debug	2712	SemWifiUsabilityStatsMonitor	onWifiUsabilityStats - seqNum 22904, isSameBssidAndFreq true
07-14 23:00:15.689	Samsung SM-S918B	Debug	2712	WifiStaIfaceHidlImpl	getCachedScanData is not implemented by HIDL
07-14 23:00:15.286	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	performBatteryWork--
07-14 23:00:15.286	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	0 	 BattData addData data : BattData { voltage:3.85, current:0.339062, soc:0.48, temperature:28.7, status:2, timestamp:1784080815286, voltage_chg:null}
07-14 23:00:15.267	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	primeBatt readVoltage from sysFsBattVolt,  path : /sys/class/power_supply/battery/batt_voltage_now
07-14 23:00:15.266	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	performBatteryWork battery com.android.server.bsoh.device.PrimeBattery@cd89213
07-14 23:00:15.266	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	performBatteryWork++
07-14 23:00:15.137	Samsung SM-S918B	Debug	2712	SemWifiSwitchForIndividualAppsService	isSkipTcpMonitorInfo - result:2
 BSOH Sys-servce ... 
07-14 23:00:14.852	Samsung SM-S918B	Info	1799	HYPER-HAL	[RequestManager.cpp]acquire(): Acquired ID : 22354644  [6683 / 3]    HINT :      list : [CPUMaxFreq / 2841600] 
07-14 23:00:14.852	Samsung SM-S918B	Info	6683	SemDvfsHyPerManager	acquire hyper - SIOP_ARM_MAX/6683@3, type = 301993986
07-14 23:00:14.851	Samsung SM-S918B	Info	6683	n2	limitCPUFreq:: freq = 2841600
07-14 23:00:14.847	Samsung SM-S918B	Info	1799	HYPER-HAL	[RequestManager.cpp]releaseLocked(): Released ID : 22488594
07-14 23:00:14.830	Samsung SM-S918B	Info	1791	sensors-hal	handle_sns_std_sensor_event:436, [SSC_LIGHT] P: 28(28),m:13,c:69,b:66,c0:11204,l:27,f(r):109,u(bl):100,j:28
07-14 23:00:14.673	Samsung SM-S918B	Info	27349	SndPersonalSafety	(REDACTED) Peak of %f at %d, running m%d
07-14 23:00:14.402	Samsung SM-S918B	Info	6683	n2	limitCPUFreq:: freq = -1
07-14 23:00:14.329	Samsung SM-S918B	Info	2712	BatteryService_BatteryPropertiesRegistrar	[getProperty]prop.long:-9223372036854775808 ,prop.string:null
07-14 23:00:14.329	Samsung SM-S918B	Info	2712	BatteryService_BatteryPropertiesRegistrar	[getProperty]id:4
07-14 23:00:14.285	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	performBatteryWork--
07-14 23:00:14.285	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	0 	 BattData addData data : BattData { voltage:3.829, current:0.155468, soc:0.48, temperature:28.7, status:2, timestamp:1784080814285, voltage_chg:null}
07-14 23:00:14.269	Samsung SM-S918B	Warning	26563	adbd	timeout expired while reading data after flushing socket, closing
07-14 23:00:14.267	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	primeBatt readVoltage from sysFsBattVolt,  path : /sys/class/power_supply/battery/batt_voltage_now
07-14 23:00:14.266	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	performBatteryWork battery com.android.server.bsoh.device.PrimeBattery@cd89213
07-14 23:00:14.266	Samsung SM-S918B	Debug	2712	BSOHChargingDataCollector	performBatteryWork++
07-14 23:00:14.161	Samsung SM-S918B	Warning	26563	adbd	timeout expired while flushing socket, closing
 BSOH Sys-servce ... 
07-14 23:00:14.146	Samsung SM-S918B	Info	1799	HYPER-HAL	[RequestManager.cpp]releaseLocked(): Released ID : 3760683
07-14 23:00:14.126	Samsung SM-S918B	Debug	2712	SemWifiSwitchForIndividualAppsService	isSkipTcpMonitorInfo - result:2
07-14 23:00:14.064	Samsung SM-S918B	Debug	1217	io_stats	!@   8,0 r 18583796 611289411 w 6111081 112776064 d 978434 177842240 f 166526 474329 iot 12989780 0 th 0 0 0 pt 0 inp 0 0 115611.156
07-14 23:00:14.006	Samsung SM-S918B	Info	7495	InputMethodService	cancelImeSurfaceRemoval: removeCallbacks
07-14 23:00:14.006	Samsung SM-S918B	Info	7495	InputMethodService	removeImeSurface
07-14 23:00:13.978	Samsung SM-S918B	Info	1870	sysinput:Touch	writeInformation:249, OK
07-14 23:00:13.977	Samsung SM-S918B	Debug	2712	SemInputDevice:TSP	SetPropertyTask: CMD,set_grip_data,1,60,10,32,926,32,3088 [07-14 23:00:13.977]
07-14 23:00:13.977	Samsung SM-S918B	Debug	2712	TspStateManager	wrote command: cmd=1,60,10,32,926,32,3088, type=1
07-14 23:00:13.976	Samsung SM-S918B	Debug	2712	SemInputDeviceManager	setProperty: (0) CMD,GRIP_DATA,1,60,10,32,926,32,3088
